id_municipio;Entidad;vozfijat212;vozfijat213;vozfijat214;vozfijat215;vozfijat216;vozfijat217;vozfijat218;vozfijat219;vozfijat220;vozfijat221;vozfijat222;vozfijat223;vozfijat224;vozfijat225;vozfijat226;vozfijat227;vozfijat228;vozfijat229;vozfijat230;vozfijat231;vozfijat232;vozfijat233;vozfijat234;vozfijat235
8685;Santo Tomás;.047703706;.047434967;.047165804;.04689604;.046624739;.046351537;.04607657;.045800153;.045522384;.045242891;.044961032;.04467655;.044389896;.044102289;.043815985;.043534562;.04326196;.043001164;.04275379;.042520516;.042300578;.042091418;.041888293;.041686594
8758;Soledad;.083443165;.085288189;.087138794;.08897008;.090761557;.092497058;.094164096;.095753223;.097259566;.098681942;.10002193;.10128332;.10247149;.10359262;.1046531;.10565887;.10661514;.107526;.10839514;.10922699;.11002776;.11080573;.11157244;.11233596
8832;Tubará;.0042913053;.004109195;.0039295135;.003754165;.0035846422;.003421963;.0032667774;.0031194121;.0029799673;.0028482946;.0027240843;.0026069481;.0024965534;.002392526;.0022944058;.0022015988;.0021134939;.0020294648;.001948812;.0018708144;.0017947805;.0017200407;.0016459943;.0015722131
11001;Bogotá;.31105509;.30970764;.30835852;.30700511;.30564356;.30426884;.30287477;.30145475;.30000466;.29852211;.29700693;.29546124;.29388937;.2922973;.29069176;.28907344;.28744304;.28580225;.2841543;.28250173;.28084692;.27919155;.27753583;.27587974
13001;Cartagena;.12828913;.12883587;.12938014;.12991841;.13044862;.13097095;.13148856;.13200548;.13252603;.13305421;.13359378;.1341479;.13471936;.13530953;.13591814;.13654527;.13719067;.13785326;.13853322;.13922876;.13993768;.14065692;.14138266;.14211057
13006;Achí;.0010491654;.00103922;.001030096;.0010226155;.0010175486;.0010156153;.0010174583;.0010235027;.0010338977;.0010485114;.001066895;.0010882451;.0011116636;.001136521;.0011620328;.0011875917;.0012127468;.001237185;.0012607636;.0012834655;.0013053801;.0013266858;.0013476058;.0013683921
13042;Arenal;.00001580937;.000031421885;.000047059635;.000062763145;.000078578276;.000094546216;.00011069344;.0001270215;.00014346278;.00015993787;.00017634506;.00019254949;.00020840603;.00022384782;.00023877656;.00025315044;.00026697383;.00028028715;.00029315709;.00030566732;.0003179092;.00032997309;.00034193951;.00035387059
13052;Arjona;.025120087;.024435742;.023751115;.023066413;.022382302;.021699931;.021020958;.020346977;.019679461;.019019509;.018367674;.017724056;.017088495;.016460555;.015839569;.01522478;.014615422;.014010953;.013411025;.01281512;.012222466;.011632086;.011042907;.01045392
13074;Barranco de Loba;.00082000549;.00080898713;.0007980463;.00078730576;.00077686459;.0007668031;.00075718726;.00074803678;.00073932967;.00073100562;.00072293467;.00071491988;.00070677197;.00069848797;.00069000834;.00068129;.00067227508;.0006628944;.0006531055;.00064289651;.0006322905;.00062134955;.00061017956;.00059893512
13140;Calamar;.0017774798;.0017019955;.0016266777;.0015517917;.0014776622;.00140469;.001333366;.0012641242;.0011973546;.0011333643;.0010722526;.0010139513;.00095833966;.00090522721;.00085433194;.00080533902;.00075790426;.00071165658;.00066625263;.00062135124;.00057666644;.00053199433;.00048723898;.00044243908
13160;Cantagallo;.000041334617;.000066792876;.000092296294;.00011791897;.0001437477;.00016986567;.00019633595;.00022318498;.00025038564;.00027784024;.00030536315;.00033266336;.00035946287;.00038561405;.00041094664;.00043538486;.00045893012;.00048164447;.00050363434;.00052503491;.00054599514;.00056666275;.0005871699;.00060761889
13188;Cicuco;.000013812743;.00003080942;.00004785382;.000065030748;.000082451392;.0001002426;.00011847966;.00013717523;.00015626791;.00017566682;.00019523966;.00021480057;.00023415414;.00025319553;.00027178598;.00028985331;.00030738022;.00032439298;.00034095047;.00035713337;.00037303384;.00038874531;.00040435253;.00041992177
13212;Córdoba;.00087806612;.00084231899;.00080771476;.00077516865;.00074539019;.00071890367;.00069601741;.00067684025;.0006612963;.00064918731;.00064015226;.00063367549;.00062919268;.00062634656;.00062473887;.0006240331;.00062395568;.0006242973;.00062491297;.00062572252;.00062665984;.00062767294;.00062872347;.00062978634
13222;Clemencia;.0088619478;.0084315315;.0080013815;.0075721894;.0071448707;.0067207245;.0063014869;.0058891322;.0054856213;.0050924001;.0047101928;.0043390417;.0039784936;.0036277738;.0032858609;.002951598;.002623657;.0023005435;.0019808495;.0016632052;.0013464269;.0010296641;.00071254547;.00039537423
13244;El Carmen de Bolívar;.017737927;.017371602;.017003199;.016629046;.01624525;.015847797;.015434027;.01500282;.014554337;.014089589;.013609978;.013117084;.01261278;.012099003;.011577602;.011050352;.010518971;.0099849068;.009449278;.0089129088;.0083763087;.0078397347;.0073032696;.0067668953
13248;El Guamo;.0033433482;.0033625616;.0033821838;.0034030187;.0034260913;.0034526326;.003483905;.003521106;.0035651065;.0036169125;.003677475;.0037476593;.0038283688;.0039206618;.0040252181;.0041426006;.0042731916;.0044170348;.0045736763;.0047420724;.0049204128;.0051060137;.0052951272;.0054826648
13268;El Peñón;.00093058305;.00087633496;.00082338852;.00077284477;.00072563521;.00068248314;.00064400001;.0006105745;.00058232807;.0005592698;.00054117851;.00052761659;.00051800703;.00051183841;.00050847221;.000507341;.00050794857;.00050986838;.00051274133;.00051627232;.0005202266;.00052442559;.00052874221;.00053309649
13430;Magangué;.015082756;.01501448;.014947047;.014881911;.014820959;.014766285;.014720151;.014684686;.014661582;.014651745;.014656089;.01467539;.014710321;.014762005;.014831698;.014920593;.015029614;.015158881;.01530727;.015472058;.015649522;.015835294;.016025264;.016216595
13433;Mahates;.0020033743;.0019624429;.0019215639;.0018808632;.0018404375;.0018003761;.0017607573;.0017215717;.0016826941;.0016438806;.0016047653;.0015648574;.0015237088;.0014810078;.0014364329;.0013898206;.0013410936;.0012902387;.0012373109;.0011824383;.0011258523;.0010678957;.0010090315;.00094987679
13442;María La Baja;.0041760239;.004075028;.0039741122;.0038733748;.0037729803;.0036730708;.0035737855;.0034752022;.0033773275;.003280143;.0031835062;.0030870887;.002990579;.002893867;.0027967261;.0026990755;.0026009362;.0025023574;.0024033603;.0023039577;.0022042003;.0021041848;.0020040241;.0019038185
13468;Mompós;.025983375;.025403086;.024823936;.024246274;.023669841;.023094276;.022519642;.021946389;.021375284;.020807302;.020243274;.019683741;.019129204;.01858018;.018036775;.017499007;.01696693;.016440373;.015918875;.015401689;.014887746;.014375734;.013863978;.013351859
