id_municipio;tvt212;tvt213;tvt214;tvt215;tvt216;tvt217;tvt218;tvt219;tvt220;tvt221;tvt222;tvt223;tvt224;tvt225;tvt226;tvt227;tvt228;tvt229;tvt230;tvt231;tvt232;tvt233;tvt234;tvt235
52612;.018611364;.018860662;.019106936;.019345913;.019573167;.019784078;.019973863;.020139052;.0202769;.020384962;.020460598;.020504152;.020517176;.020502342;.020463513;.020405285;.020332772;.02025147;.020166123;.020080063;.019995268;.019911619;.019827779;.019743863
52678;.00080751115;.0013698264;.0019326536;.0024968165;.0030630867;.0036321459;.0042043333;.0047797807;.0053581954;.005938929;.0065209568;.0071032094;.0076846038;.0082640182;.0088401856;.0094119022;.009978083;.010538084;.011091672;.011639201;.012181827;.012720835;.01325754;.013793297
52683;.020496691;.01989927;.01930552;.018723469;.018157322;.017609004;.017078862;.016568527;.016080312;.015615649;.015175149;.014758845;.014365633;.013993725;.0136407;.013304219;.012982267;.012673586;.012377793;.012093293;.011816271;.011543706;.011273186;.011003362
52687;.0030113468;.003279035;.0035460948;.0038112281;.0040726825;.0043280818;.0045743552;.0048079896;.0050252168;.0052221213;.0053947475;.0055392282;.005651793;.0057286103;.0057658376;.0057600019;.0057089743;.0056127133;.0054735034;.0052965968;.0050907247;.0048677609;.0046363962;.0044022803
52693;.0028686556;.002948364;.0030273746;.0031048793;.0031800892;.0032522944;.00332089;.0033858304;.0034474113;.0035059825;.0035620893;.0036165107;.0036700482;.0037234579;.0037776709;.0038333687;.0038907726;.0039495756;.0040093409;.0040697195;.0041306317;.004191875;.0042530498;.004314106
52696;-.0083184559;-.0074606054;-.0065975552;-.0057194447;-.0048122872;-.0038585237;-.002837586;-.001726495;-.0005004977;.00086623756;.0023998555;.0041259592;.0060686525;.0082494598;.010686113;.013391186;.01637058;.019621817;.023132198;.026876751;.030816097;.034894139;.039035566;.04319584
52720;.0034627018;.0039514136;.0044394643;.0049254196;.0054074381;.0058832616;.0063499254;.0068042395;.0072425129;.0076606707;.0080563277;.0084286518;.0087776501;.0091046533;.0094116302;.0097014131;.0099771321;.01024157;.010498318;.010750229;.010999589;.011247579;.011494244;.011740221
52786;.0005918853;.00083769567;.0010836794;.0013302818;.0015780628;.0018277281;.0020800026;.0023358427;.0025963685;.0028627261;.0031357962;.0034162973;.0037048224;.004001685;.004306823;.004619603;.0049390132;.0052640541;.0055936472;.0059268321;.0062633152;.0066026542;.0069435071;.0072848927
52788;.0028374479;.0041594184;.0054821852;.0068068374;.00813457;.0094662448;.010802148;.012141868;.013483798;.014824186;.016157277;.017478179;.018782506;.020066375;.021326141;.02255784;.023759246;.024930017;.026070192;.027182434;.028271629;.029343531;.030404735;.031461816
52835;.0034275707;.0037542037;.0040840199;.0044227769;.0047785924;.0051618502;.0055849175;.0060617784;.0066077146;.0072379927;.0079681147;.0088130254;.0097869206;.010901271;.012165199;.013585045;.01516359;.016898988;.018783389;.020801596;.022930419;.025137944;.027383516;.029641543
52838;.005542527;.0064984723;.0074546095;.0084114764;.0093707256;.010334559;.011305468;.012286543;.013280944;.014291756;.015321995;.016374899;.017453495;.018560167;.019696269;.020862214;.022057217;.023279903;.024526499;.025791505;.027068043;.028349889;.029632797;.030915624
52885;.0078106867;.0085427305;.0092742732;.010004715;.010734287;.011463635;.012193233;.012924237;.013657321;.014393064;.015131075;.015870662;.01661047;.017347142;.018076386;.018792532;.01949057;.020166498;.020817727;.021444868;.022050001;.02263844;.023216812;.023791254
54001;.12007403;.11921488;.11835859;.11750824;.11666746;.11584005;.11503048;.11424451;.11348848;.11276942;.1120956;.11147648;.1109223;.11044426;.11004782;.10973261;.10949283;.10931701;.10919344;.10911056;.10905755;.10902368;.10899962;.10897909
