"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"26";"25126";"5308";"76147";"5604";"5659";"70110";"15790";"54385";"44110";"76130"
"27";"68276";"5376";"5368";"91001";"76616";"25506";"68385";"15832";"15380";"15293"
"28";"5380";"5321";"5148";"5642";"17013";"68524";"20032";"47960";"15466";"15820"
"29";"5001";"68081";"5861";"25572";"70742";"25781";"85225";"15109";"54051";"13647"
"30";"5212";"54001";"5664";"20060";"17513";"52287";"25483";"68705";"54223";"50370"
"31";"5360";"13001";"5679";"5585";"76126";"8372";"13780";"41503";"68780";"76863"
"32";"11001";"47001";"5789";"19532";"47551";"85325";"85430";"47205";"66383";"15808"
"33";"5607";"76520";"5237";"17524";"70221";"70204";"70678";"52720";"68686";"5631"
"34";"76001";"76111";"5761";"5031";"15514";"41791";"13433";"25324";"25019";"76130"
"35";"5615";"25290";"5282";"85010";"5107";"15664";"86760";"52352";"76845";"15293"
"36";"25175";"76834";"66400";"8078";"23686";"25120";"73616";"15362";"15690";"15820"
"37";"25286";"5042";"5030";"5197";"68867";"25438";"15223";"52390";"54673";"13647"
"38";"63001";"73349";"5101";"5467";"68327";"50577";"41006";"15131";"25095";"50370"
"39";"76364";"25758";"73443";"5361";"25769";"70124";"8770";"20295";"41801";"76863"
"40";"8573";"20001";"5206";"5736";"54810";"41206";"68377";"47605";"86219";"15808"
"41";"25430";"76895";"5686";"73585";"50573";"27075";"25535";"15442";"15638";"5631"
"42";"5059";"27001";"5364";"5172";"13052";"68468";"73152";"47460";"63111";"76130"
"43";"25214";"66682";"15516";"17653";"54099";"52678";"73520";"15215";"99624";"15293"
"44";"68001";"52001";"81001";"5250";"25297";"15047";"25653";"47258";"68255";"15820"
"45";"5266";"76122";"41551";"68895";"68211";"70523";"44378";"52687";"25797";"13647"
"46";"25473";"8758";"76248";"5837";"5652";"15180";"18460";"41483";"54398";"50370"
"47";"25126";"17174";"5887";"5647";"17486";"19075";"25885";"47161";"44110";"76863"
"48";"68276";"70001";"25386";"5093";"17050";"19473";"73270";"52885";"15380";"15808"
"49";"5380";"54498";"25843";"73483";"68684";"81300";"20238";"68271";"15466";"5631"
"50";"5001";"54518";"5264";"63690";"81794";"19824";"52019";"52210";"54051";"76130"
"51";"5212";"63130";"50689";"5847";"5873";"19392";"13549";"52506";"54223";"15293"
"52";"5360";"25269";"50006";"68861";"70473";"19585";"15681";"52411";"68780";"15820"
"53";"11001";"85001";"63594";"5306";"15272";"19256";"15531";"13894";"66383";"13647"
"54";"5607";"76036";"19698";"5234";"5854";"19050";"68264";"25398";"68686";"50370"
"55";"76001";"25799";"17380";"5138";"41885";"19364";"15507";"20310";"25019";"76863"
"56";"5615";"76113";"68077";"73671";"47245";"70233";"25168";"68773";"76845";"15808"
"57";"25175";"13836";"25599";"68167";"23570";"27245";"52227";"54109";"15690";"5631"
"58";"25286";"76736";"76275";"20013";"68855";"19780";"52696";"13873";"54673";"76130"
"59";"63001";"54874";"47189";"5591";"68682";"19533";"52250";"25368";"25095";"15293"
"60";"76364";"63190";"20011";"41016";"25436";"41026";"15764";"54520";"41801";"15820"
"61";"8573";"76890";"50150";"68406";"15761";"68770";"73043";"47703";"86219";"13647"
"62";"25430";"8296";"63470";"5649";"15511";"27495";"18860";"68522";"15638";"50370"
"63";"5059";"5129";"76563";"68655";"19455";"15757";"18150";"47720";"63111";"76863"
"64";"25214";"66001";"19573";"15572";"81065";"73024";"50711";"15401";"99624";"15808"
"65";"68001";"41001";"66687";"23417";"70713";"44078";"47707";"41660";"68255";"5631"
"66";"5266";"25377";"73168";"5885";"73148";"68418";"13810";"52788";"25797";"76130"
"67";"25473";"8001";"76828";"68689";"70708";"25745";"13212";"86569";"54398";"15293"
"68";"25126";"68547";"5541";"19548";"23670";"73236";"8606";"17088";"44110";"15820"
"69";"68276";"25754";"5425";"66440";"54239";"15236";"13160";"44420";"15380";"13647"
"70";"5380";"50001";"5353";"52835";"47555";"52585";"18610";"47541";"15466";"50370"
"71";"5001";"25899";"5858";"73408";"17272";"54599";"86757";"15464";"54051";"76863"
"72";"5212";"76622";"5658";"54172";"20750";"52323";"13074";"47692";"54223";"15808"
"73";"5360";"15001";"5501";"23672";"15798";"20228";"15090";"15842";"68780";"5631"
"74";"11001";"25817";"5240";"15469";"5543";"68092";"18410";"68820";"66383";"76130"
"75";"5607";"5088";"5856";"81736";"68575";"25662";"19821";"25898";"68686";"15293"
"76";"76001";"66170";"5576";"25181";"23068";"17442";"68160";"18205";"25019";"15820"
"77";"5615";"73001";"5284";"73124";"15455";"23586";"27615";"52215";"76845";"13647"
"78";"25175";"17001";"25785";"66045";"5495";"54174";"13268";"25580";"15690";"50370"
"79";"25286";"15759";"68432";"20614";"18753";"25407";"13673";"52354";"54673";"76863"
"80";"63001";"15238";"5021";"19142";"68051";"54820";"13655";"18029";"25095";"15808"
"81";"76364";"54405";"76109";"86568";"15693";"86885";"95015";"52260";"41801";"5631"
"82";"8573";"19001";"15176";"8638";"68320";"15051";"13030";"25862";"86219";"76130"
"83";"25430";"76892";"5310";"5313";"70823";"25645";"52051";"52258";"15638";"15293"
"84";"5059";"68307";"5315";"15491";"25178";"25394";"50110";"15660";"63111";"15820"
"85";"25214";"68679";"25001";"25320";"86749";"73873";"95200";"52381";"99624";"13647"
"86";"68001";"17873";"70820";"5895";"5120";"68669";"13188";"15106";"68255";"50370"
"87";"5266";"5318";"5034";"5036";"54206";"27205";"41244";"50686";"25797";"76863"
"88";"25473";"5308";"41615";"5842";"15806";"15804";"13600";"15232";"54398";"15808"
"89";"25126";"5376";"73411";"66088";"41797";"73347";"13620";"15621";"44110";"5631"
"90";"68276";"5321";"5002";"13430";"5475";"25851";"13042";"15822";"15380";"76130"
"91";"5380";"68081";"5674";"73861";"68745";"52083";"81220";"18479";"15466";"15293"
"92";"5001";"54001";"5045";"5125";"25486";"52693";"85400";"54313";"54051";"15820"
"93";"5212";"13001";"5347";"25245";"23079";"41668";"27660";"15162";"54223";"13647"
"94";"5360";"47001";"41132";"23182";"68500";"66075";"25339";"52612";"68780";"50370"
"95";"11001";"76520";"20710";"5665";"17616";"66572";"73854";"25592";"66383";"76863"
"96";"5607";"76111";"5579";"5480";"23855";"47053";"50590";"52786";"68686";"15808"
"97";"76001";"25290";"23162";"86320";"86865";"15542";"15183";"52405";"25019";"5631"
"98";"5615";"76834";"73319";"5038";"25845";"15367";"68245";"68209";"76845";"76130"
"99";"25175";"5042";"5792";"25151";"15599";"70702";"73686";"52036";"15690";"15293"
"100";"25286";"73349";"44001";"68572";"54480";"41357";"50287";"47545";"54673";"15820"
"101";"63001";"25758";"20621";"23807";"25040";"18094";"86755";"25871";"25095";"13647"
"102";"76364";"20001";"8685";"5628";"68207";"73678";"25148";"76250";"41801";"50370"
"103";"8573";"76895";"15322";"5040";"63548";"54720";"68573";"15368";"86219";"76863"
"104";"25430";"27001";"50226";"76377";"15696";"15814";"13667";"25594";"15638";"15808"
"105";"5059";"66682";"5809";"25513";"17867";"41020";"13140";"47675";"63111";"5631"
"106";"25214";"52001";"5670";"5051";"76497";"68397";"54344";"15580";"99624";"76130"
"107";"68001";"76122";"23660";"76233";"41524";"54003";"54800";"25328";"68255";"15293"
"108";"5266";"8758";"15753";"76100";"25867";"20250";"85125";"54385";"25797";"15820"
"109";"25473";"17174";"50606";"76869";"94001";"15837";"13222";"15832";"54398";"13647"
"110";"25126";"70001";"25322";"15172";"63302";"19212";"47170";"47960";"44110";"50370"
"111";"68276";"54498";"5147";"25612";"8634";"15667";"15500";"15109";"15380";"76863"
"112";"5380";"54518";"73275";"63401";"41872";"19450";"73870";"68705";"15466";"15808"
"113";"5001";"63130";"17042";"23555";"68250";"20383";"15762";"41503";"54051";"5631"
"114";"5212";"25269";"5667";"68079";"54125";"54347";"27077";"47205";"54223";"76130"
"115";"5360";"85001";"41298";"5154";"15537";"68176";"50124";"52720";"68780";"15293"
"116";"11001";"76036";"5756";"85410";"54743";"25281";"27099";"25324";"66383";"15820"
"117";"5607";"25799";"85250";"23466";"54660";"68498";"44847";"52352";"68686";"13647"
"118";"76001";"76113";"44279";"17877";"25805";"41319";"8137";"15362";"25019";"50370"
"119";"5615";"13836";"25743";"5113";"86573";"20770";"50350";"52390";"76845";"76863"
"120";"25175";"76736";"50318";"15299";"13244";"66318";"15533";"15131";"15690";"15808"
